USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           638     2          0      0 0                   0 I [pmic_glink_rx]
root           639     2          0      0 0                   0 S [cdsprm-wq]
root           640     2          0      0 0                   0 I [cdsprm-wq-delay]
root           641     2          0      0 0                   0 S [kshrink_slabd]
root           642     2          0      0 0                   0 I [memlat_wq]
root           643     2          0      0 0                   0 I [pdr_notifier_wq]
root           644     2          0      0 0                   0 I [pdr_notifier_wq]
root           645     2          0      0 0                   0 S [irq/50-arm-smmu-context-fault]
root           646     2          0      0 0                   0 S [irq/51-arm-smmu-context-fault]
root           647     2          0      0 0                   0 I [mm_kevent]
root           648     2          0      0 0                   0 I [kworker/2:2-events]
root           649     2          0      0 0                   0 S [irq/300-qcom,smp2p-adsp]
root           650     2          0      0 0                   0 S [irq/52-arm-smmu-context-fault]
root           651     2          0      0 0                   0 S [irq/301-rf_cable_irq]
root           652     2          0      0 0                   0 S [irq/302-qcom,smp2p-cdsp]
root           653     2          0      0 0                   0 S [irq/53-arm-smmu-context-fault]
root           667     2          0      0 0                   0 S [irq/305-qcom,smp2p-modem]
root           691     2          0      0 0                   0 S [irq/54-arm-smmu-context-fault]
root           697     2          0      0 0                   0 S [irq/307-qcom,smp2p-wpss]
root           722     2          0      0 0                   0 S [irq/265-pmxr2230-temp-alarm]
root           725     2          0      0 0                   0 S [track_upload_kthread]
root           726     2          0      0 0                   0 S [irq/55-arm-smmu-context-fault]
root           760     2          0      0 0                   0 S [irq/308-regulator-ocp]
root           761     2          0      0 0                   0 I [haptic_chg_trig]
root           766     2          0      0 0                   0 S [irq/56-arm-smmu-context-fault]
root           799     2          0      0 0                   0 S [irq/275-qcom,temp-alarm]
root           819     2          0      0 0                   0 I [kworker/0:2-events_long]
root           820     2          0      0 0                   0 S [khvcd]
root           821     2          0      0 0                   0 S [irq/57-arm-smmu-context-fault]
root           822     2          0      0 0                   0 I [rimps_wq]
root           823     2          0      0 0                   0 S [irq/276-pm8010m-temp-alarm]
root           828     2          0      0 0                   0 S [irq/58-arm-smmu-context-fault]
root           829     2          0      0 0                   0 S [spi0]
root           830     2          0      0 0                   0 S [irq/312-aw_haptic]
root           833     2          0      0 0                   0 S [irq/16-arm-smmu global fault]
root           834     2          0      0 0                   0 S [irq/59-arm-smmu-context-fault]
root           835     2          0      0 0                   0 S [spi1]
root           836     2          0      0 0                   0 I [kworker/4:2H-kblockd]
root           838     2          0      0 0                   0 S [irq/60-arm-smmu-context-fault]
root           839     2          0      0 0                   0 I [cfg80211]
root           840     2          0      0 0                   0 I [kworker/1:3-events]
root           841     2          0      0 0                   0 S [irq/61-arm-smmu-context-fault]
root           842     2          0      0 0                   0 S [irq/62-arm-smmu-context-fault]
root           845     2          0      0 0                   0 S [irq/166-pwr_event_irq]
root           846     2          0      0 0                   0 S [irq/309-dp_hs_phy_irq]
root           847     2          0      0 0                   0 S [irq/310-dm_hs_phy_irq]
root           848     2          0      0 0                   0 S [irq/311-ss_phy_irq]
root           850     2          0      0 0                   0 S [irq/63-arm-smmu-context-fault]
root           851     2          0      0 0                   0 I [uaudio_svc]
root           853     2          0      0 0                   0 I [kworker/6:11-events_long]
root           855     2          0      0 0                   0 S [irq/64-arm-smmu-context-fault]
root           856     2          0      0 0                   0 S [irq/65-arm-smmu-context-fault]
root           857     2          0      0 0                   0 I [kworker/6:12-events_long]
root           859     2          0      0 0                   0 S [irq/66-arm-smmu-context-fault]
root           860     2          0      0 0                   0 I [kworker/6:13-events_long]
root           861     2          0      0 0                   0 I [kworker/6:14-events_long]
root           862     2          0      0 0                   0 I [kworker/6:15-events]
root           863     2          0      0 0                   0 I [kworker/6:16-events_long]
root           864     2          0      0 0                   0 S [irq/67-arm-smmu-context-fault]
root           868     2          0      0 0                   0 I [k_ipa_usb]
root           869     2          0      0 0                   0 S [tbatt_pwroff]
root           872     2          0      0 0                   0 S [hwrng]
root           873     2          0      0 0                   0 I [kworker/u17:2-qmi_msg_handler]
root           880     2          0      0 0                   0 I [kworker/4:9-events_long]
root           883     2          0      0 0                   0 I [pdr_notifier_wq]
root           884     2          0      0 0                   0 I [ngd_master]
root           885     2          0      0 0                   0 S [irq/268-flash_all_ramp_up]
root           886     2          0      0 0                   0 S [irq/267-flash_all_ramp_down]
root           887     2          0      0 0                   0 S [irq/266-flash_fault]
root           890     2          0      0 0                   0 S [irq/68-arm-smmu-context-fault]
root           891     2          0      0 0                   0 I [kworker/4:10-events_long]
root           892     2          0      0 0                   0 I [kworker/6:17]
root           894     2          0      0 0                   0 S [irq/279-ecm-sdam0]
root           895     2          0      0 0                   0 I [kworker/4:11-events_long]
root           896     2          0      0 0                   0 I [kworker/2:3-events]
root           899     2          0      0 0                   0 I [kworker/4:12-events_long]
root           900     2          0      0 0                   0 S [irq/280-ecm-sdam1]
media          901     1    2307376   3372 0                   0 S audioadsprpcd
root           902     2          0      0 0                   0 I [kworker/6:18-events]
root           904     2          0      0 0                   0 S [irq/281-ecm-sdam2]
root           906     2          0      0 0                   0 I [kworker/4:13-events_long]
root           907     2          0      0 0                   0 I [pm_workq]
root           910     2          0      0 0                   0 I [batch_workq]
root           911     2          0      0 0                   0 S [irq/251-msm-vidc]
root           912     2          0      0 0                   0 I [kworker/4:14-rcu_gp]
root           913     2          0      0 0                   0 S [irq/69-arm-smmu-context-fault]
root           914     2          0      0 0                   0 S [irq/70-arm-smmu-context-fault]
root           915     2          0      0 0                   0 I [kworker/u16:7-writeback]
root           916     2          0      0 0                   0 I [kworker/0:3-events_long]
root           917     2          0      0 0                   0 I [ipa_power_mgmt]
root           918     2          0      0 0                   0 S [irq/71-arm-smmu-context-fault]
root           919     2          0      0 0                   0 I [kworker/4:15-events]
